model,metric,dataset,slope,p_val
eurollm,PPL,wmt19_fien,-0.03719550512291138,0.0006674702796574014
eurollm,MTE,wmt19_fien,-0.07460513738005432,1.4914043782809798e-12
eurollm,MCSE,wmt19_fien,0.31164999842356306,2.2474491070993497e-211
eurollm,MCNSE,wmt19_fien,-0.037238263041709636,0.0033925323852024396
eurollm,LSRL,wmt19_fien,0.048183676132635585,0.00948548931815781
eurollm,MSP,wmt19_deen,0.20314763524670842,3.779512384193843e-211
eurollm,PPL,wmt19_deen,-0.04339407481994119,0.0015860357183183381
eurollm,MTE,wmt19_deen,-0.10604954980281174,3.5365386454512777e-15
eurollm,MCSE,wmt19_deen,0.26546995280306973,2.258895885804948e-177
eurollm,MCNSE,wmt19_deen,-0.07100884098185727,2.7035326752849913e-08
eurollm,LSRL,wmt19_deen,-0.015467818716458909,0.43317024474452714
eurollm,MSP,wmt19_lten,0.3181265321481722,1.2363735446665543e-254
eurollm,PPL,wmt19_lten,-0.057459105357011375,1.6952745269530408e-08
eurollm,MTE,wmt19_lten,-0.11779351801401505,6.945369192319481e-22
eurollm,MCSE,wmt19_lten,0.28189028738077626,5.55757933055324e-222
eurollm,MCNSE,wmt19_lten,-0.06954062175590833,5.2766491541665975e-08
eurollm,LSRL,wmt19_lten,0.022671121148671355,0.23163696575473666
