Metric,Dataset,Model,Method,ScoreType,Score
Comet WMT22,wmt19_lten,EuroLLM 9B,MTE,Raw,0.37197876352762277
Comet WMT22,wmt19_lten,EuroLLM 9B,MTE,Detrended,0.4607708120301041
Comet WMT22,wmt19_lten,EuroLLM 9B,MCSE,Raw,0.3431642287413338
Comet WMT22,wmt19_lten,EuroLLM 9B,MCSE,Detrended,0.38465907258431037
Comet WMT22,wmt19_lten,EuroLLM 9B,MCNSE,Raw,0.2772557868511457
Comet WMT22,wmt19_lten,EuroLLM 9B,MCNSE,Detrended,0.28018053740599463
Comet WMT22,wmt19_lten,EuroLLM 9B,LSRL,Raw,0.3175446107106268
Comet WMT22,wmt19_lten,EuroLLM 9B,LSRL,Detrended,0.3177623647433787
Comet WMT22,wmt19_ruen,EuroLLM 9B,MSP,Raw,0.4304800631859134
Comet WMT22,wmt19_ruen,EuroLLM 9B,MSP,Detrended,0.44282334292890185
Comet WMT22,wmt19_ruen,EuroLLM 9B,PPL,Raw,0.3247199723372336
Comet WMT22,wmt19_ruen,EuroLLM 9B,PPL,Detrended,0.4192168046150139
Comet WMT22,wmt19_ruen,EuroLLM 9B,MTE,Raw,0.34064107141267563
Comet WMT22,wmt19_ruen,EuroLLM 9B,MTE,Detrended,0.47447895165335674
Comet WMT22,wmt19_ruen,EuroLLM 9B,MCSE,Raw,0.42235859759301486
Comet WMT22,wmt19_ruen,EuroLLM 9B,MCSE,Detrended,0.40043977650519463
Comet WMT22,wmt19_ruen,EuroLLM 9B,MCNSE,Raw,0.24489582703142596
Comet WMT22,wmt19_ruen,EuroLLM 9B,MCNSE,Detrended,0.3076687649209027
Comet WMT22,wmt19_ruen,EuroLLM 9B,LSRL,Raw,0.2588891380731487
Comet WMT22,wmt19_ruen,EuroLLM 9B,LSRL,Detrended,0.3011036562990078
BLEU,wmt14_csen,EuroLLM 9B,MSP,Raw,0.15039728930053503
BLEU,wmt14_csen,EuroLLM 9B,MSP,Detrended,0.34652828632734745
BLEU,wmt14_csen,EuroLLM 9B,PPL,Raw,0.40557601577855906
BLEU,wmt14_csen,EuroLLM 9B,PPL,Detrended,0.4043724106365049
BLEU,wmt14_csen,EuroLLM 9B,MTE,Raw,0.41164861644721146
BLEU,wmt14_csen,EuroLLM 9B,MTE,Detrended,0.4118820052735261
BLEU,wmt14_csen,EuroLLM 9B,MCSE,Raw,0.16069144216402506
BLEU,wmt14_csen,EuroLLM 9B,MCSE,Detrended,0.29748678352761804
BLEU,wmt14_csen,EuroLLM 9B,MCNSE,Raw,0.1788095318541504
